time,seconds_elapsed,z,y,x
1761476453914791000,0.086791015625,0.13707447478473186,0.020947437895461916,0.06144819244686514
1761476453924824000,0.096823974609375,0.12263619958758354,0.04896108785010874,0.057671048528328536
1761476453934857700,0.106857666015625,0.09834639246165752,0.07113993070404977,0.100446086420957
1761476453944891000,0.116890869140625,0.06552665739953517,0.042954321715980764,0.12810454799607396
1761476453954923800,0.126923828125,-0.030220950740575788,-0.0020854279719293117,0.08759139062082394
1761476453964958000,0.1369580078125,-0.14465163204073905,-0.017065408830344676,-0.019557371776551008
1761476453974990800,0.146990966796875,-0.16308511435389517,-0.028139906682819127,-0.13022471848782152
1761476453985024000,0.15702392578125,-0.09243395354747772,0.0049558323090896006,-0.1755500801840797
1761476453995057000,0.167056884765625,-0.03993687359094619,0.03716638596430421,-0.17220115334866568
1761476454005091000,0.177091064453125,-0.06218436123430728,0.07105795150902122,-0.10474036781508475
1761476454015124000,0.1871240234375,-0.05402502017617225,0.05757880366761237,-0.026982060150895267
1761476454025156900,0.197156982421875,-0.03136836721003056,0.016544928620196877,0.02320489796604961
1761476454035189800,0.207189697265625,0.03376841408908367,0.006968377707898616,0.037081593757681545
1761476454045224000,0.217223876953125,0.06730009681284427,0.028397315509989855,0.039319490611273794
1761476454055256800,0.2272568359375,0.06727963854670524,0.05932893527057022,0.03963233768641949
1761476454065290000,0.2372900390625,0.1052484269350767,0.0946110053256154,0.03392528515122831
1761476454075323000,0.247322998046875,0.17614508693516254,0.09618165217582136,0.032922026392817494
1761476454085357000,0.257357177734375,0.19587270071208476,0.08226783924419433,0.0035556831875815987
1761476454095390000,0.267389892578125,0.1629313850969076,0.07347498605549335,-0.012851645326521248
1761476454105422800,0.2774228515625,0.14405541971325875,0.06457659013308584,-0.029273915681429206
1761476454115456800,0.287456787109375,0.05815992802381515,0.07493387962691485,-0.05933900000685825
1761476454125490000,0.297489990234375,0.03275134600102901,0.06996493210792541,-0.07151137609863653
1761476454135522800,0.307522705078125,0.05559212336242199,0.061458713840879496,-0.02621248228419572
1761476454145556000,0.317555908203125,0.04464753549993038,0.05156878613047301,0.031930439805891365
1761476454155590000,0.32758984375,0.00163432320356369,0.04203486878350377,0.06108683005487546
1761476454165623000,0.337623046875,-0.04773965629637241,0.009664667587168514,0.04385159934926778
1761476454175656000,0.347656005859375,-0.03162029614448547,-0.035039639601297676,0.03327363457577303
1761476454185689000,0.357689208984375,-0.027031214788556097,-0.06276859086304902,0.01913425099365413
1761476454195722800,0.36772265625,-0.05534487060308456,-0.04617313763201236,0.00684175565354526
1761476454205756000,0.377755859375,-0.06792144358158111,-0.013429025089368224,0.011867109534889458
1761476454215788800,0.387788818359375,-0.08496142570972443,0.006049399699456989,0.021582831455860287
1761476454225823000,0.397822998046875,-0.018891747474670408,0.021712942375242707,0.007375807731319219
1761476454235856000,0.40785595703125,0.09646189388930797,0.018879509047605096,-0.015906813379749654
1761476454245889000,0.417888916015625,0.11541092450916766,0.015945209161378444,-0.020443744423333556
1761476454255922000,0.427921875,0.11870938153266906,-0.00828691296055913,-0.02480572075881064
1761476454265955800,0.437955810546875,0.10725918223559856,-0.03135682290270925,0.02214488578541204
1761476454275988700,0.44798876953125,0.03155716778039932,-0.03916146877165884,0.0476089243224822
1761476454286022000,0.45802197265625,-0.046239188605546946,-0.017804682890325784,0.04723979874914512
1761476454296056000,0.46805615234375,-0.0710153179436922,0.003236936094611883,0.020352559008542447
1761476454306089000,0.4780888671875,-0.06352642349302769,0.0006099851245060562,-0.013971278739906846
1761476454316121900,0.488121826171875,-0.0489250666886568,-0.01469363819770515,-0.04351593765411526
1761476454326155000,0.498155029296875,0.05162789590656757,-0.04287650723941624,-0.0447698832379654
1761476454336189000,0.50818896484375,0.13528349971473216,-0.07736644053608178,-0.04899109939588234
1761476454346221800,0.518221923828125,0.12371055082082748,-0.07963924430627375,-0.0462446136993356
1761476454356254700,0.528254638671875,0.09484335277676582,-0.07680624937005341,-0.010344430012255906
1761476454366289000,0.538288818359375,0.10122633181214331,-0.07877853582371026,0.0434132992635481
1761476454376322000,0.548322021484375,0.0454699577987194,-0.08200447560027241,0.09541143498830497
1761476454386355000,0.55835498046875,0.008725158247351646,-0.08575900582820177,0.12438187421113252
1761476454396387800,0.568387939453125,0.0027028292179107666,-0.07453508956767618,0.16385757829742506
1761476454406422000,0.578422119140625,0.030841712987422942,-0.07774846212361007,0.21701843765862286
1761476454416455000,0.588454833984375,0.06034428632557392,-0.08695004224367439,0.2244546703402884
1761476454426487800,0.59848779296875,0.09969897611439227,-0.10595325073618442,0.20251604771669954
1761476454436522000,0.60852197265625,0.0945563525289297,-0.11712141822148114,0.16421393572073428
